zcta,year,population_est,population_moe,median_age_est,median_age_moe,housing_units_est,housing_units_moe,households_est,households_moe,bachelors_or_higher_pct,bachelors_or_higher_pct_moe,median_household_income_est,median_household_income_moe,unemployment_rate_pct,unemployment_rate_pct_moe,below_poverty_pct,below_poverty_pct_moe,median_home_value_est,median_home_value_moe,median_gross_rent_est,median_gross_rent_moe
89001,2011,1452,323,38.5,9.0,554,112,503,114,,,51858,11858,,,6.8,9.2,180900,42258,777,232
89001,2012,1038,322,44.9,11.3,444,113,412,110,,,51742,6064,,,7.6,10.9,181600,52913,740,291
89001,2013,878,247,48.6,11.2,439,108,387,108,,,50446,8282,,,1.9,3.3,161900,105139,,
89001,2014,1067,354,34.6,18.8,482,141,393,131,,,48068,33443,,,15.7,8.6,135400,177805,594,321
89001,2015,1326,340,35.2,9.8,541,112,455,107,,,50469,15056,15.9,10.9,10.3,6.5,112800,25571,592,377
89001,2016,1057,308,36.1,10.6,522,113,379,107,,,50417,18248,8.4,13.8,11.2,8.4,113900,18990,905,636
89001,2017,1167,334,36.3,9.0,542,116,391,104,32.2,19.6,57827,14274,6.5,9.7,9.5,7.8,123200,29406,634,490
89001,2018,1441,350,35.5,8.9,610,119,480,121,24.3,14.7,60160,10384,5.3,8.2,6.0,5.2,117900,20204,639,511
89001,2019,1363,303,45.1,19.1,626,124,544,124,26.5,10.8,60152,12297,0.0,6.8,0.4,0.4,121400,25518,630,12
89001,2020,1356,343,38.0,20.3,613,153,482,115,12.7,7.5,56098,32157,0.0,8.6,0.4,0.4,120800,54251,636,390
89001,2021,1378,355,40.6,18.0,594,143,510,128,8.9,6.6,75612,29846,0.0,6.9,0.3,0.4,130000,78541,666,241
89001,2022,1220,303,39.7,16.8,587,132,478,134,9.8,7.3,82593,39698,0.0,8.1,1.8,2.9,154100,65727,721,383
89001,2023,1045,321,45.5,6.7,577,150,460,152,13.9,10.9,85543,33281,0.0,7.9,1.1,1.6,194700,47781,738,327
89001,2024,1033,358,45.3,15.9,545,191,403,166,9.1,8.9,71386,40823,0.0,12.4,3.2,4.9,208200,62730,,
89002,2011,32853,1519,34.5,1.6,11909,260,10966,266,,,81272,4036,,,6.7,2.0,262500,12696,1484,102
89002,2012,33146,1218,35.2,1.1,11828,282,10793,329,,,79515,5375,,,8.3,1.8,212000,11678,1410,61
89002,2013,34191,1319,36.0,1.3,12047,245,11129,334,,,76504,3965,,,9.4,2.2,183500,7596,1349,92
89002,2014,33803,1289,36.1,1.1,11909,287,11025,354,,,73266,4055,,,9.2,2.1,176300,7089,1326,91
89002,2015,34391,1131,36.5,1.1,12159,261,11127,308,,,75114,3184,9.2,1.6,7.6,1.8,186700,7413,1273,73
89002,2016,34343,1199,36.8,1.0,12435,247,11431,278,,,75523,3249,7.6,1.5,6.9,1.7,210800,8461,1254,53
89002,2017,35170,1202,37.7,0.8,12863,284,12021,343,26.8,2.0,78792,3216,8.1,2.1,6.4,1.6,238600,8026,1271,65
89002,2018,34953,1102,37.3,1.0,13043,255,11985,298,26.3,2.2,79966,3694,6.4,1.3,5.7,1.2,266600,7335,1343,63
89002,2019,35881,1037,37.3,0.9,13094,286,12139,322,26.8,1.9,82778,3030,5.7,1.4,6.3,1.8,291100,7178,1350,54
89002,2020,36752,1810,38.3,1.5,13698,830,12865,832,25.3,2.4,83700,6420,6.1,1.5,7.9,2.4,313500,9935,1367,54
89002,2021,37287,1672,37.4,1.2,13440,608,12737,641,27.1,2.5,88425,5509,5.7,1.2,7.0,2.2,338800,7442,1494,88
89002,2022,37352,1599,37.8,1.2,13606,610,12945,621,26.0,2.3,95346,6908,4.6,1.0,7.0,2.0,384200,9503,1714,97
89002,2023,37238,1688,38.6,1.1,13703,658,13226,654,27.5,2.7,98725,6731,4.0,1.0,7.9,2.2,427500,11015,1844,102
89002,2024,37664,1609,39.3,1.5,14076,595,13533,638,26.9,2.4,105471,5230,3.6,1.0,8.0,2.3,448900,10656,1963,117
89003,2011,1082,341,51.2,11.6,667,124,527,130,,,21964,12028,,,26.6,13.0,62700,23262,431,40
89003,2012,1011,351,57.0,12.7,637,123,471,113,,,29191,15129,,,26.7,17.0,51600,15578,428,46
89003,2013,900,353,57.7,12.7,694,115,404,120,,,30056,17104,,,27.3,16.1,51400,37546,435,44
89003,2014,1021,328,58.3,7.3,789,122,460,120,,,32054,8046,,,22.7,15.1,57400,9024,528,114
89003,2015,1051,421,57.2,12.9,811,133,441,148,,,33341,24281,1.9,3.2,14.6,14.2,57800,14676,561,166
89003,2016,770,285,56.8,15.7,688,118,347,115,,,50169,34853,2.8,5.1,1.6,2.7,59500,27807,545,63
89003,2017,775,315,44.8,24.1,696,134,356,116,14.5,11.6,34085,26239,13.9,19.5,11.0,13.8,56700,42026,568,46
89003,2018,881,329,42.5,24.7,678,137,417,126,11.5,10.7,32743,7213,10.9,15.0,13.1,11.7,60300,41680,615,47
89003,2019,820,282,55.8,17.2,675,152,471,138,20.0,12.8,,,6.9,10.4,19.9,17.1,85000,83335,622,100
89003,2020,870,333,56.5,14.0,705,179,552,187,19.4,13.6,19651,17304,8.9,10.1,21.0,16.0,,,656,68
89003,2021,762,285,59.7,8.9,639,196,514,191,17.5,13.5,,,11.2,13.1,21.3,19.7,75000,56622,709,32
89003,2022,596,233,61.0,12.9,516,159,378,144,13.5,12.0,,,0.0,14.9,10.4,14.3,134100,74504,779,64
89003,2023,637,258,62.3,8.2,452,170,397,163,21.8,13.8,0,,0.0,17.4,7.8,8.9,154100,29176,842,21
89003,2024,387,207,62.4,4.6,319,144,267,146,17.1,16.3,,,0.0,23.9,9.8,13.1,165400,31319,,
89004,2011,385,240,43.5,16.7,167,78,139,73,,,98917,111117,,,4.7,6.9,287200,72910,,
89004,2012,399,214,43.9,13.6,180,67,146,66,,,84688,133015,,,4.8,6.7,296900,82030,,
89004,2013,385,209,43.5,15.0,169,63,135,64,,,148068,147002,,,3.6,5.1,296000,65087,,
89004,2014,283,108,48.6,8.5,131,47,106,36,,,142000,76211,,,7.1,6.6,360500,35118,,
89004,2015,351,100,52.3,5.4,172,41,138,35,,,113000,83155,9.6,8.8,9.7,9.7,351900,40022,,
89004,2016,345,101,54.4,2.5,194,50,144,31,,,116500,83581,6.3,9.0,9.0,8.9,375000,55020,,
89004,2017,437,229,54.2,3.1,184,57,144,52,35.8,20.7,74118,12931,7.6,11.7,10.3,9.0,369400,43338,,
89004,2018,347,190,54.7,6.7,162,53,124,51,37.5,24.6,74531,11885,0.0,25.2,13.5,11.8,397200,77330,,
89004,2019,326,175,54.4,3.5,204,69,129,50,42.3,27.7,75515,20107,0.0,24.7,12.6,11.7,383800,79666,987,823
89004,2020,266,186,53.0,6.3,192,76,108,61,30.9,21.5,80938,47400,0.0,29.0,5.6,9.6,400000,207358,1320,604
89004,2021,299,186,52.0,3.3,162,76,110,57,41.2,21.3,66328,20632,14.3,14.0,12.7,11.6,397200,283026,,
89004,2022,247,124,50.7,4.7,163,76,111,48,58.6,13.6,81023,59485,14.8,15.0,10.9,11.6,552100,432511,,
89004,2023,270,135,52.3,5.8,143,52,128,52,57.5,11.7,85227,29787,13.2,12.9,9.3,9.2,633100,189065,,
89004,2024,351,142,52.0,3.2,153,48,153,48,66.4,12.8,94821,60830,10.0,12.9,8.5,9.6,665500,165686,,
89005,2011,15318,27,51.0,2.8,7613,322,6512,259,,,59722,5515,,,9.3,2.6,270800,16152,838,54
89005,2012,15186,30,50.0,3.2,7416,303,6370,248,,,59947,5944,,,9.7,3.4,240500,17859,858,44
89005,2013,15116,31,50.1,2.4,7276,299,6350,264,,,58283,3048,,,10.5,2.8,213300,22040,874,47
89005,2014,15157,24,50.0,2.7,7411,330,6355,284,,,55625,4717,,,10.8,3.0,198600,12599,895,63
89005,2015,15261,20,50.6,2.4,7581,403,6366,350,,,56460,5075,12.3,3.1,10.3,2.7,197900,12431,923,77
89005,2016,15373,32,49.1,2.0,7510,302,6256,261,,,58573,2340,12.6,3.1,10.0,2.3,223200,17460,938,112
89005,2017,15648,25,50.2,2.1,7793,387,6403,286,28.4,3.2,57843,4624,10.6,2.6,11.1,2.9,241600,17580,985,92
89005,2018,15680,39,52.8,1.8,7971,361,6481,258,30.3,3.5,60870,5505,8.4,3.1,10.2,2.8,269200,16577,991,91
89005,2019,15840,49,53.5,1.9,8249,370,6615,276,29.8,3.2,61787,4197,6.7,2.0,9.2,2.4,287000,14809,1002,85
89005,2020,16048,25,52.7,4.1,7937,516,6556,392,29.7,3.4,62792,5439,6.5,2.6,11.3,4.4,304600,26908,1071,95
89005,2021,14875,30,51.8,3.9,7365,440,6163,346,30.1,3.5,69620,10406,7.0,2.7,11.4,4.3,331000,21406,1171,153
89005,2022,14874,55,51.1,2.8,7205,367,6133,337,31.9,3.6,76356,9041,6.5,3.2,10.6,3.8,401100,28416,1257,186
89005,2023,14925,43,51.7,4.0,7437,428,6455,367,30.6,3.3,68832,13115,6.8,2.9,10.8,4.4,424200,27257,1376,226
89005,2024,14962,51,53.4,3.6,7466,438,6596,341,31.4,3.9,74375,8988,7.8,2.7,11.4,3.9,435600,21040,1428,102
89007,2011,1054,494,26.3,7.8,369,99,267,89,,,80104,44031,,,11.4,15.0,219300,31903,,
89007,2012,1153,472,26.6,6.7,387,80,301,90,,,53750,16938,,,4.0,4.1,200300,68787,,
89007,2013,1694,752,30.2,6.1,397,107,321,96,,,67083,26855,,,3.0,3.7,162800,47644,,
89007,2014,1431,638,33.8,9.3,413,99,352,90,,,55217,24848,,,6.8,7.0,102300,44444,1329,91
89007,2015,1374,539,33.6,10.2,419,88,346,81,,,50833,25306,7.7,10.3,6.3,6.5,119200,68004,1308,151
89007,2016,1423,586,32.4,10.2,370,83,349,87,,,42708,32399,9.8,9.0,6.5,6.3,139700,60795,1217,471
89007,2017,1277,604,38.9,15.7,364,102,320,100,8.5,7.2,66167,54298,11.3,10.5,6.3,7.1,183200,81227,1195,550
89007,2018,1122,494,37.7,17.3,374,106,329,100,8.6,6.8,,,5.5,7.2,7.9,8.3,201000,53840,,
89007,2019,1479,529,28.8,8.6,385,115,337,105,10.2,5.8,83750,24595,4.1,5.8,1.6,2.6,228000,43238,567,295
89007,2020,1430,649,28.2,7.9,353,108,302,99,10.5,7.0,96563,30927,5.4,7.2,1.7,2.9,261100,63106,,
89007,2021,949,472,35.1,8.1,280,90,235,80,12.3,9.2,101645,33855,0.0,13.2,0.0,4.1,291000,58095,,
89007,2022,1008,524,31.6,25.1,262,106,216,99,9.0,9.9,142500,37508,0.0,16.0,0.0,4.1,320600,98108,,
89007,2023,1119,686,19.0,30.6,277,105,230,91,10.5,11.0,149327,36255,0.0,13.6,0.0,3.9,320000,122544,,
89007,2024,370,247,44.7,16.3,186,102,139,89,12.2,17.0,78237,23317,0.0,24.2,0.0,11.4,332300,79107,,
89008,2011,1211,287,33.9,14.3,701,115,488,104,,,24939,8517,,,23.3,11.2,139100,43149,534,196
89008,2012,1463,304,31.7,5.1,814,135,571,113,,,23361,3109,,,28.7,10.5,146500,44753,384,114
89008,2013,1390,288,34.2,18.4,832,117,577,108,,,23321,3779,,,31.1,10.5,146100,60051,389,13
89008,2014,1400,405,33.6,17.1,812,132,534,123,,,32045,15942,,,12.1,8.1,144900,24018,766,204
89008,2015,1272,393,40.3,14.4,698,153,475,130,,,31705,14023,5.7,5.5,9.9,7.5,143800,38506,767,383
89008,2016,1272,336,40.6,14.6,682,126,464,119,,,45833,27282,8.5,6.9,12.1,8.3,135200,13211,800,474
89008,2017,1286,351,45.3,6.4,717,157,554,139,18.2,9.5,56583,25155,7.6,6.9,9.4,6.8,133900,14753,596,369
89008,2018,1324,341,45.7,4.1,735,145,572,131,16.4,9.6,45500,36041,12.9,8.7,15.0,9.2,132500,19390,767,257
89008,2019,1009,288,45.8,4.4,649,146,476,129,16.1,8.8,,,13.2,9.2,19.6,11.9,131500,39169,596,361
89008,2020,1162,299,49.2,10.2,837,144,638,132,13.0,5.5,24238,2617,13.1,8.6,17.9,10.0,105900,30482,599,187
89008,2021,890,221,49.4,12.8,633,141,479,128,13.7,7.8,33698,29103,4.7,5.8,13.8,8.7,155300,14426,664,233
89008,2022,1019,278,41.5,8.2,633,148,436,128,17.6,9.4,51750,26672,3.1,5.1,14.0,7.9,169600,42140,629,246
89008,2023,792,247,41.9,14.3,628,187,366,134,16.4,11.7,55089,22975,0.0,12.1,12.0,7.4,190400,22172,630,225
89008,2024,1251,354,37.8,5.7,716,190,466,162,20.1,13.9,,,0.0,8.5,4.3,4.8,207500,44849,692,122
89010,2011,313,92,59.1,9.5,231,47,137,33,,,45893,23817,,,19.8,16.4,141300,38227,,
